20170707 07:45:00,294000,294279,293576,293601
20170707 08:00:00,293601,294001,293450,293607
20170707 08:15:00,293587,294000,293408,293572
20170707 08:30:00,293572,293999,293540,293860
20170707 08:45:00,293860,294130,293656,293602
20170707 09:00:00,293601,293880,293338,293900
20170707 09:15:00,293900,294300,293671,293801
20170707 09:30:00,293800,294350,293530,293839
20170707 09:45:00,293671,293950,293591,293850
20170707 10:00:00,293855,293970,293591,293680
20170707 10:15:00,293551,293870,293030,293315
20170707 10:30:00,293100,293700,293000,293265
20170707 10:45:00,293265,293351,292775,293279
20170707 11:00:00,293279,293501,293000,293320
20170707 11:15:00,293320,293580,293080,293130
20170707 11:30:00,293130,293333,292669,292799
20170707 11:45:00,292723,293200,292669,292975
20170707 12:00:00,292905,293000,292000,292179
20170707 12:15:00,292290,292830,291860,291980
20170707 12:30:00,291981,292250,291555,292002
20170707 12:45:00,291980,291980,290750,291000
20170707 13:00:00,291000,292228,290520,291960
20170707 13:15:00,291761,291999,291460,291778
20170707 13:30:00,291799,291888,291280,291699
20170707 13:45:00,291600,292219,291510,291920
20170707 14:00:00,291868,291868,291250,291770
20170707 14:15:00,291700,292001,291381,291578
20170707 14:30:00,291599,291840,291000,291703
20170707 14:45:00,291724,291928,291346,291830
20170707 15:00:00,291825,292560,291820,292303
20170707 15:15:00,292303,292711,292261,292273
20170707 15:30:00,292261,292653,291670,291922
20170707 15:45:00,291932,292133,291100,291150
20170707 16:00:00,291120,292017,291000,291000
20170707 16:15:00,291000,291340,290500,291016
20170707 16:30:00,291016,291020,289114,290638
20170707 16:45:00,290638,290638,289300,289569
20170707 17:00:00,289570,290120,289429,289420
20170707 17:15:00,289550,289689,288870,288870
20170707 17:30:00,288870,289250,288490,289248
20170707 17:45:00,289100,289977,289017,289950
20170707 18:00:00,289950,290899,289681,290330
20170707 18:15:00,290330,290330,289500,289859
20170707 18:30:00,289859,290300,289600,289800
20170707 18:45:00,289800,290540,289629,290399
20170707 19:00:00,290399,291020,290250,290999
20170707 19:15:00,290994,291314,290800,291300
20170707 19:30:00,291290,291502,290679,290741
20170707 19:45:00,290741,291174,290580,290943
20170707 20:00:00,290943,291200,290697,291059
20170707 20:15:00,291059,291060,289100,289508
20170707 20:30:00,289503,290230,289430,289940
20170707 20:45:00,289940,290250,288860,288860
20170707 21:00:00,288976,289400,288648,289355
20170707 21:15:00,289000,289199,288200,288324
20170707 21:30:00,288324,288700,287500,287622
20170707 21:45:00,287622,287990,286640,287380
20170707 22:00:00,287409,288520,286650,288500
20170707 22:15:00,288500,289350,288500,288930
20170707 22:30:00,288930,289322,288141,288100
20170707 22:45:00,288100,288220,286500,286516
20170707 23:00:00,286525,288145,286516,287732
20170707 23:15:00,287731,288059,286720,287267
20170707 23:30:00,287008,288310,286736,287580
20170707 23:45:00,287580,288199,287000,287674
20170708 00:00:00,287500,287900,286580,286959
20170708 00:15:00,286761,287460,285432,286367
20170708 00:30:00,286367,287500,286120,287484
20170708 00:45:00,287470,288869,287060,288470
20170708 01:00:00,288717,289100,287760,289086
20170708 01:15:00,289086,289227,288190,288538
20170708 01:30:00,288480,288714,287564,288575
20170708 01:45:00,288600,288600,288316,288401
20170708 02:00:00,288400,288619,287570,287982
20170708 02:15:00,287528,288290,287500,288200
20170708 02:30:00,288200,288702,287598,288538
20170708 02:45:00,288538,289620,288165,289004
20170708 03:00:00,289004,289980,288880,289960
20170708 03:15:00,289999,290180,289110,289718
20170708 03:30:00,289718,290279,289000,288806
20170708 03:45:00,288940,289134,287320,287989
20170708 04:00:00,288040,288900,287584,288710
20170708 04:15:00,288710,289000,288401,288751
20170708 04:30:00,288751,288960,288220,288413
20170708 04:45:00,288427,288754,288200,288261
20170708 05:00:00,288261,288429,287730,288264
20170708 05:15:00,288264,288333,287483,287579
20170708 05:30:00,287659,287800,287350,287850
20170708 05:45:00,287850,287932,287506,287784
20170708 06:00:00,287784,288021,287506,288140
20170708 06:15:00,287731,288319,287519,287701
20170708 06:30:00,287701,288200,287221,287600
20170708 06:45:00,287600,287787,287506,287787
20170708 07:00:00,287787,287960,287121,287121
20170708 07:15:00,287249,287311,286100,286475
20170708 07:30:00,286480,286930,286050,286929
20170708 07:45:00,286677,287150,286361,286535
20170708 08:00:00,286534,286817,285560,286480
20170708 08:15:00,286331,287280,285940,286245
20170708 08:30:00,286245,288099,285990,288150
20170708 08:45:00,288150,288624,287232,287869
20170708 09:00:00,287869,288160,287659,288121
20170708 09:15:00,288111,288121,286801,287325
20170708 09:30:00,287325,287789,286899,287400
20170708 09:45:00,287255,287739,287200,287397
20170708 10:00:00,287628,287659,287039,287039
20170708 10:15:00,287039,287270,286585,287209
20170708 10:30:00,287209,287460,286591,286880
20170708 10:45:00,286585,286908,285693,286005
20170708 11:00:00,286000,286900,285980,286401
20170708 11:15:00,286719,287004,286399,286756
20170708 11:30:00,286756,287048,285950,286306
20170708 11:45:00,286496,286879,286080,286879
20170708 12:00:00,286879,286900,286220,286500
20170708 12:15:00,286500,286800,285999,286800
20170708 12:30:00,286800,287300,286604,286900
20170708 12:45:00,286900,287200,286719,287014
20170708 13:00:00,287150,287619,287000,287405
20170708 13:15:00,287404,288407,286916,288253
20170708 13:30:00,288372,288407,287932,288007
20170708 13:45:00,288222,288430,287790,288397
20170708 14:00:00,288408,288931,287977,288913
20170708 14:15:00,288677,288709,288186,288584
20170708 14:30:00,288584,288800,287371,287630
20170708 14:45:00,287650,287870,287239,287640
20170708 15:00:00,287635,288370,287370,288196
20170708 15:15:00,288201,288227,287210,287345
20170708 15:30:00,287350,287689,286891,286980
