日付け,終値,始値,高値,安値,出来高,変化率 %,,
2020/8/25,40822 ,43300 ,43300 ,39550 ,2.48K,-5.72%,,861
2020/8/26,40988 ,40822 ,41236 ,40345 ,1.55K,0.41%,,860
2020/8/27,40827 ,40988 ,41101 ,40255 ,2.23K,-0.39%,,859
2020/8/28,41618 ,40827 ,41803 ,40827 ,2.06K,1.94%,,858
2020/8/29,42129 ,41618 ,42741 ,41531 ,2.21K,1.23%,,857
2020/8/30,45316 ,42129 ,45316 ,42129 ,2.95K,7.57%,,856
2020/8/31,46059 ,45316 ,46261 ,44776 ,1.45K,1.64%,,855
2020/9/1,50453 ,46059 ,51512 ,45830 ,3.24K,9.54%,,854
2020/9/2,46753 ,50453 ,50453 ,45997 ,3.97K,-7.33%,,853
2020/9/3,40482 ,46753 ,47038 ,39477 ,5.02K,-13.41%,,852
2020/9/4,41050 ,40482 ,42192 ,40347 ,3.80K,1.40%,,851
2020/9/5,35578 ,41055 ,41589 ,34597 ,7.47K,-13.33%,,850
2020/9/6,37550 ,35578 ,37981 ,34280 ,1.49K,5.54%,,849
2020/9/7,37652 ,37550 ,37685 ,34862 ,2.53K,0.27%,,848
2020/9/8,35789 ,37652 ,37652 ,35547 ,2.55K,-4.95%,,847
2020/9/9,37361 ,35789 ,38000 ,35325 ,1.96K,4.39%,,846
2020/9/10,39090 ,37361 ,39611 ,37361 ,2.13K,4.63%,,845
2020/9/11,39759 ,39090 ,39777 ,38105 ,2.31K,1.71%,,844
2020/9/12,41201 ,39759 ,41201 ,39115 ,0.73K,3.63%,,843
2020/9/13,38772 ,41201 ,41309 ,37581 ,1.17K,-5.90%,,842
2020/9/14,39911 ,38772 ,40226 ,38637 ,2.13K,2.94%,,841
2020/9/15,38402 ,39911 ,39946 ,38396 ,1.41K,-3.78%,,840
2020/9/16,38416 ,38402 ,38902 ,37551 ,2.47K,0.04%,,839
2020/9/17,40801 ,38416 ,41001 ,38416 ,2.82K,6.21%,,838
2020/9/18,40255 ,40801 ,41069 ,39634 ,2.04K,-1.34%,,837
2020/9/19,40370 ,40255 ,40401 ,39819 ,1.65K,0.29%,,836
2020/9/20,38776 ,40370 ,40370 ,38421 ,3.13K,-3.95%,,835
2020/9/21,35711 ,38776 ,39186 ,35711 ,2.85K,-7.90%,,834
2020/9/22,36182 ,35711 ,36361 ,35674 ,2.05K,1.32%,,833
2020/9/23,33798 ,36182 ,36182 ,33798 ,3.04K,-6.59%,,832
2020/9/24,36848 ,33798 ,36912 ,33798 ,2.38K,9.02%,,831
2020/9/25,37203 ,36848 ,37718 ,35905 ,1.67K,0.96%,,830
2020/9/26,37434 ,37203 ,37640 ,36859 ,2.63K,0.62%,,829
2020/9/27,37809 ,37434 ,38228 ,37179 ,5.18K,1.00%,,828
2020/9/28,37387 ,37809 ,38585 ,37387 ,1.54K,-1.12%,,827
2020/9/29,38059 ,37387 ,38059 ,37372 ,0.88K,1.80%,,826
2020/9/30,37980 ,38059 ,38059 ,37480 ,0.89K,-0.21%,,825
2020/10/1,37308 ,37980 ,38930 ,37034 ,1.48K,-1.77%,,824
2020/10/2,36454 ,37308 ,37308 ,35678 ,4.55K,-2.29%,,823
2020/10/3,36479 ,36454 ,36937 ,36345 ,1.14K,0.07%,,822
2020/10/4,37244 ,36479 ,37244 ,36479 ,0.66K,2.10%,,821
2020/10/5,37416 ,37244 ,37458 ,37029 ,0.49K,0.46%,,820
2020/10/6,36028 ,37416 ,37494 ,35803 ,1.28K,-3.71%,,819
2020/10/7,36282 ,36028 ,36282 ,35549 ,1.04K,0.71%,,818
2020/10/8,37274 ,36282 ,37281 ,35548 ,1.27K,2.73%,,817
2020/10/9,38789 ,37274 ,38945 ,37023 ,1.06K,4.06%,,816
2020/10/10,39209 ,38789 ,40015 ,38776 ,0.43K,1.08%,,815
2020/10/11,39624 ,39209 ,39748 ,39181 ,0.61K,1.06%,,814
2020/10/12,40835 ,39624 ,41281 ,38760 ,2.49K,3.06%,,813
2020/10/13,40271 ,40835 ,40835 ,39973 ,0.97K,-1.38%,,812
2020/10/14,39896 ,40271 ,40762 ,39363 ,1.11K,-0.93%,,811
2020/10/15,39812 ,39896 ,40008 ,39263 ,1.01K,-0.21%,,810
2020/10/16,38593 ,39812 ,39956 ,38536 ,1.64K,-3.06%,,809
2020/10/17,38871 ,38593 ,38871 ,38593 ,0.65K,0.72%,,808
2020/10/18,39919 ,38871 ,39919 ,38799 ,0.43K,2.70%,,807
2020/10/19,40048 ,39919 ,40309 ,39432 ,0.89K,0.32%,,806
2020/10/20,38901 ,40048 ,40076 ,38826 ,1.91K,-2.86%,,805
2020/10/21,41025 ,38901 ,41610 ,38901 ,2.57K,5.46%,,804
2020/10/22,43478 ,41025 ,43951 ,41025 ,2.61K,5.98%,,803
2020/10/23,42911 ,43478 ,43693 ,42191 ,1.12K,-1.30%,,802
2020/10/24,43219 ,42911 ,43668 ,42743 ,0.66K,0.72%,,801
2020/10/25,42513 ,43219 ,43611 ,42495 ,0.55K,-1.63%,,800
2020/10/26,41261 ,42513 ,42885 ,40574 ,2.27K,-2.94%,,799
2020/10/27,42153 ,41261 ,42583 ,41163 ,2.43K,2.16%,,798
2020/10/28,40527 ,42153 ,42532 ,40090 ,1.79K,-3.86%,,797
2020/10/29,40465 ,40527 ,40935 ,40237 ,1.38K,-0.15%,,796
2020/10/30,40176 ,40465 ,40866 ,39497 ,1.50K,-0.71%,,795
2020/10/31,40340 ,40176 ,40988 ,39933 ,1.13K,0.41%,,794
2020/11/1,41483 ,40446 ,41483 ,40339 ,0.83K,2.83%,,793
2020/11/2,40179 ,41483 ,42198 ,40179 ,2.42K,-3.14%,,792
2020/11/3,40585 ,40179 ,40585 ,39218 ,1.55K,1.01%,,791
2020/11/4,41923 ,40585 ,42179 ,39860 ,4.27K,3.30%,,790
2020/11/5,43138 ,41923 ,43270 ,41537 ,3.38K,2.90%,,789
2020/11/6,47084 ,43138 ,47084 ,43138 ,3.62K,9.15%,,788
2020/11/7,45007 ,47084 ,47933 ,44664 ,3.46K,-4.41%,,787
2020/11/8,47018 ,45007 ,47178 ,45007 ,1.92K,4.47%,,786
2020/11/9,46729 ,47018 ,47519 ,46155 ,4.12K,-0.61%,,785
2020/11/10,47395 ,46729 ,47723 ,46656 ,2.88K,1.42%,,784
2020/11/11,48895 ,47395 ,50080 ,47395 ,4.17K,3.16%,,783
2020/11/12,48522 ,48895 ,48923 ,47911 ,3.66K,-0.76%,,782
2020/11/13,49887 ,48522 ,49887 ,48341 ,4.44K,2.81%,,781
2020/11/14,48302 ,49887 ,49887 ,47907 ,2.00K,-3.18%,,780
2020/11/15,47003 ,48165 ,48420 ,46575 ,1.31K,-2.69%,,779
2020/11/16,48221 ,47003 ,48473 ,46973 ,2.97K,2.59%,,778
2020/11/17,50260 ,48221 ,50268 ,48213 ,3.59K,4.23%,,777
2020/11/18,49762 ,50260 ,51246 ,48219 ,4.99K,-0.99%,,776
2020/11/19,48921 ,49762 ,49762 ,48741 ,2.16K,-1.69%,,775
2020/11/20,52911 ,48921 ,53073 ,48921 ,3.11K,8.16%,,774
2020/11/21,57026 ,52911 ,57026 ,52435 ,3.00K,7.78%,,773
2020/11/22,58086 ,57026 ,59499 ,54869 ,5.45K,1.86%,,772
2020/11/23,63578 ,58086 ,63578 ,57653 ,4.54K,9.45%,,771
2020/11/24,63082 ,64344 ,64382 ,62081 ,4.04K,-0.78%,,770
2020/11/25,59724 ,63082 ,63082 ,59621 ,2.87K,-5.32%,,769
2020/11/26,54239 ,59724 ,59724 ,51983 ,7.89K,-9.18%,,768
2020/11/27,53818 ,54239 ,55216 ,52008 ,1.64K,-0.78%,,767
2020/11/28,55983 ,53818 ,56812 ,53253 ,1.35K,4.02%,,766
2020/11/29,59989 ,55983 ,59989 ,55465 ,1.31K,7.16%,,765
2020/11/30,64225 ,59989 ,64225 ,59989 ,4.12K,7.06%,,764
2020/12/1,61233 ,64225 ,64972 ,61168 ,9.78K,-4.66%,,763
2020/12/2,62562 ,61233 ,62816 ,60871 ,2.34K,2.17%,,762
2020/12/3,64133 ,62562 ,64268 ,61704 ,1.96K,2.51%,,761
2020/12/4,59348 ,64133 ,64133 ,59348 ,4.78K,-7.46%,,760
2020/12/5,62254 ,59348 ,62254 ,59348 ,0.58K,4.90%,,759
2020/12/6,62867 ,62254 ,62885 ,61350 ,0.82K,0.98%,,758
2020/12/7,61538 ,62867 ,62867 ,61082 ,1.02K,-2.11%,,757
2020/12/8,57821 ,61538 ,61921 ,57821 ,1.94K,-6.04%,,756
2020/12/9,59810 ,57821 ,60159 ,56013 ,1.39K,3.44%,,755
2020/12/10,58390 ,59810 ,59810 ,58051 ,1.36K,-2.37%,,754
2020/12/11,56836 ,58390 ,58390 ,56360 ,1.79K,-2.66%,,753
2020/12/12,59150 ,56836 ,59342 ,56836 ,0.54K,4.07%,,752
2020/12/13,61457 ,59150 ,61815 ,58852 ,1.12K,3.90%,,751
2020/12/14,60967 ,61457 ,61457 ,59981 ,1.01K,-0.80%,,750
2020/12/15,61141 ,60967 ,62164 ,60474 ,1.35K,0.29%,,749
2020/12/16,65928 ,61141 ,65928 ,60364 ,3.30K,7.83%,,748
2020/12/17,66258 ,65928 ,69418 ,65921 ,2.67K,0.50%,,747
2020/12/18,67106 ,66258 ,67400 ,65960 ,1.98K,1.28%,,746
2020/12/19,68066 ,67106 ,68517 ,67106 ,0.81K,1.43%,,745
2020/12/20,65871 ,68066 ,68066 ,65637 ,1.04K,-3.22%,,744
2020/12/21,63102 ,65871 ,66626 ,62598 ,3.09K,-4.20%,,743
2020/12/22,65922 ,63102 ,65922 ,61863 ,1.58K,4.47%,,742
2020/12/23,60472 ,65922 ,65978 ,59090 ,3.09K,-8.27%,,741
2020/12/24,63410 ,60472 ,63557 ,59483 ,1.24K,4.86%,,740
2020/12/25,65036 ,63410 ,65392 ,63068 ,2.64K,2.56%,,739
2020/12/26,65632 ,65036 ,67140 ,64318 ,1.05K,0.92%,,738
2020/12/27,70607 ,65632 ,71801 ,65632 ,2.02K,7.58%,,737
2020/12/28,75593 ,70607 ,76994 ,70607 ,1.77K,7.06%,,736
2020/12/29,75604 ,75593 ,75769 ,71571 ,1.53K,0.01%,,735
2020/12/30,77688 ,75604 ,77742 ,74442 ,2.03K,2.76%,,734
2020/12/31,75940 ,77688 ,77688 ,75304 ,1.58K,-2.25%,,733
2021/1/1,75270 ,75940 ,76927 ,74662 ,0.57K,-0.88%,,732
2021/1/2,79998 ,75270 ,81112 ,74110 ,1.68K,6.28%,,731
2021/1/3,100740 ,79998 ,103160 ,79791 ,9.78K,25.93%,,730
2021/1/4,107070 ,100740 ,109753 ,94510 ,12.26K,6.28%,,729
2021/1/5,113120 ,107070 ,114604 ,103690 ,7.62K,5.65%,,728
2021/1/6,124620 ,113120 ,124620 ,110800 ,8.73K,10.17%,,727
2021/1/7,126690 ,124620 ,131580 ,122960 ,6.52K,1.66%,,726
2021/1/8,126230 ,126690 ,132130 ,116820 ,4.38K,-0.36%,,725
2021/1/9,133040 ,126230 ,133930 ,123080 ,2.21K,5.39%,,724
2021/1/10,130900 ,133040 ,140090 ,128400 ,3.10K,-1.61%,,723
2021/1/11,113615 ,130900 ,130975 ,102050 ,12.62K,-13.21%,,722
2021/1/12,108440 ,113130 ,117500 ,107550 ,9.24K,-4.55%,,721
2021/1/13,117236 ,108440 ,117236 ,105650 ,4.58K,8.11%,,720
2021/1/14,127970 ,117236 ,128480 ,114660 ,6.39K,9.16%,,719
2021/1/15,121750 ,127970 ,128890 ,117340 ,5.20K,-4.86%,,718
2021/1/16,127600 ,121750 ,131990 ,119958 ,5.44K,4.80%,,717
2021/1/17,128420 ,127610 ,130370 ,121576 ,5.77K,0.64%,,716
2021/1/18,130810 ,128420 ,130810 ,124431 ,4.05K,1.86%,,715
2021/1/19,142315 ,130810 ,148440 ,130810 ,6.96K,8.80%,,714
2021/1/20,142791 ,142210 ,145670 ,129230 ,5.63K,0.33%,,713
2021/1/21,115290 ,142708 ,142708 ,115290 ,21.03K,-19.26%,,712
2021/1/22,128660 ,114987 ,131512 ,109280 ,12.40K,11.60%,,711
2021/1/23,127930 ,128660 ,131844 ,126460 ,9.53K,-0.57%,,710
2021/1/24,144560 ,127930 ,144560 ,127930 ,11.52K,13.00%,,709
2021/1/25,136640 ,144560 ,149850 ,136640 ,14.42K,-5.48%,,708
2021/1/26,141740 ,136640 ,141740 ,133436 ,19.42K,3.73%,,707
2021/1/27,129443 ,141740 ,141740 ,128710 ,20.97K,-8.68%,,706
2021/1/28,138797 ,129443 ,140990 ,129443 ,13.67K,7.23%,,705
2021/1/29,144486 ,138797 ,149448 ,136710 ,22.04K,4.10%,,704
2021/1/30,144016 ,144486 ,146193 ,139700 ,8.26K,-0.33%,,703
2021/1/31,137620 ,144016 ,144016 ,134560 ,6.90K,-4.44%,,702
2021/2/1,144222 ,137620 ,144222 ,135161 ,8.52K,4.80%,,701
2021/2/2,158970 ,144222 ,161030 ,144222 ,13.75K,10.23%,,700
2021/2/3,174430 ,158970 ,174880 ,158970 ,11.02K,9.73%,,699
2021/2/4,168500 ,174430 ,177040 ,165350 ,11.13K,-3.40%,,698
2021/2/5,181330 ,168500 ,183000 ,168500 ,7.74K,7.61%,,697
2021/2/6,176680 ,181330 ,182655 ,175450 ,6.23K,-2.56%,,696
2021/2/7,170390 ,176680 ,177360 ,163400 ,6.67K,-3.56%,,695
2021/2/8,184470 ,170390 ,184470 ,167140 ,10.30K,8.26%,,694
2021/2/9,185250 ,184470 ,186440 ,181630 ,12.28K,0.42%,,693
2021/2/10,182400 ,185250 ,190500 ,179533 ,10.57K,-1.54%,,692
2021/2/11,187110 ,182400 ,188490 ,179660 ,8.13K,2.58%,,691
2021/2/12,193479 ,187110 ,194862 ,183610 ,7.24K,3.40%,,690
2021/2/13,190230 ,193479 ,195985 ,187560 ,3.56K,-1.68%,,689
2021/2/14,189490 ,190230 ,193180 ,188826 ,4.37K,-0.39%,,688
2021/2/15,187380 ,189490 ,192860 ,178851 ,6.15K,-1.11%,,687
2021/2/16,189240 ,187380 ,191503 ,183251 ,9.60K,0.99%,,686
2021/2/17,195630 ,189240 ,195630 ,184170 ,6.82K,3.38%,,685
2021/2/18,205000 ,195630 ,205200 ,195630 ,4.87K,4.79%,,684
2021/2/19,206680 ,205000 ,207060 ,201414 ,5.85K,0.82%,,683
2021/2/20,201852 ,206680 ,213932 ,199290 ,9.51K,-2.34%,,682
2021/2/21,204260 ,201852 ,207680 ,199170 ,5.12K,1.19%,,681
2021/2/22,186320 ,204260 ,204260 ,166150 ,13.69K,-8.78%,,680
2021/2/23,166260 ,186320 ,186320 ,151120 ,78.93K,-10.77%,,679
2021/2/24,172113 ,166260 ,179998 ,158642 ,52.02K,3.52%,,678
2021/2/25,157317 ,172113 ,175248 ,157317 ,25.12K,-8.60%,,677
2021/2/26,153642 ,157440 ,166088 ,152500 ,20.35K,-2.34%,,676
2021/2/27,155630 ,153642 ,161970 ,153642 ,11.64K,1.29%,,675
2021/2/28,151380 ,155630 ,156220 ,141520 ,16.17K,-2.73%,,674
2021/3/1,167760 ,151600 ,167760 ,151600 ,9.92K,10.82%,,673
2021/3/2,159080 ,167760 ,169640 ,156490 ,8.35K,-5.17%,,672
2021/3/3,168110 ,159080 ,175190 ,159080 ,6.20K,5.68%,,671
2021/3/4,166100 ,168110 ,173405 ,164790 ,9.14K,-1.20%,,670
2021/3/5,166098 ,166100 ,167900 ,158140 ,9.49K,0.00%,,669
2021/3/6,178782 ,166098 ,180040 ,165790 ,11.88K,7.64%,,668
2021/3/7,187480 ,178782 ,187480 ,177850 ,4.13K,4.87%,,667
2021/3/8,199645 ,187480 ,199970 ,181780 ,5.88K,6.49%,,666
2021/3/9,202867 ,199645 ,202867 ,197750 ,5.08K,1.61%,,665
2021/3/10,194993 ,203370 ,203370 ,194660 ,8.26K,-3.88%,,664
2021/3/11,198500 ,194993 ,200052 ,189880 ,6.21K,1.80%,,663
2021/3/12,193000 ,198500 ,198500 ,190631 ,6.19K,-2.77%,,662
2021/3/13,209320 ,193000 ,210850 ,190860 ,7.22K,8.46%,,661
2021/3/14,201608 ,209320 ,210510 ,201608 ,3.81K,-3.68%,,660
2021/3/15,195990 ,201608 ,205340 ,192760 ,10.35K,-2.79%,,659
2021/3/16,196850 ,195990 ,197030 ,190740 ,9.36K,0.44%,,658
2021/3/17,198312 ,196850 ,198480 ,191090 ,10.08K,0.74%,,657
2021/3/18,193710 ,198312 ,200098 ,193100 ,4.85K,-2.32%,,656
2021/3/19,197142 ,193710 ,199590 ,192640 ,3.05K,1.77%,,655
2021/3/20,196250 ,197142 ,202087 ,196250 ,2.67K,-0.45%,,654
2021/3/21,194270 ,196250 ,196770 ,192785 ,5.76K,-1.01%,,653
2021/3/22,182983 ,194270 ,195760 ,182790 ,5.03K,-5.81%,,652
2021/3/23,181782 ,182983 ,186474 ,181039 ,2.79K,-0.66%,,651
2021/3/24,172479 ,181782 ,188524 ,172438 ,7.05K,-5.12%,,650
2021/3/25,173595 ,172479 ,176110 ,170573 ,5.43K,0.65%,,649
2021/3/26,186190 ,173595 ,186190 ,173595 ,4.73K,7.26%,,648
2021/3/27,187650 ,186190 ,188920 ,184300 ,2.42K,0.78%,,647
2021/3/28,185320 ,187650 ,188900 ,183440 ,1.78K,-1.24%,,646
2021/3/29,199770 ,185320 ,200120 ,184661 ,4.82K,7.80%,,645
2021/3/30,203570 ,199770 ,203890 ,197480 ,2.33K,1.90%,,644
2021/3/31,212310 ,203570 ,213060 ,198632 ,3.92K,4.29%,,643
2021/4/1,217784 ,212310 ,217990 ,211965 ,3.94K,2.58%,,642
2021/4/2,236334 ,217784 ,236467 ,217210 ,3.35K,8.52%,,641
2021/4/3,222407 ,236334 ,236334 ,222407 ,3.33K,-5.89%,,640
2021/4/4,230030 ,222407 ,230750 ,222407 ,2.02K,3.43%,,639
2021/4/5,231920 ,230030 ,233450 ,222959 ,4.51K,0.82%,,638
2021/4/6,231880 ,231920 ,234960 ,225970 ,3.61K,-0.02%,,637
2021/4/7,215330 ,231880 ,231880 ,215311 ,4.75K,-7.14%,,636
2021/4/8,227471 ,215330 ,227471 ,215330 ,2.95K,5.64%,,635
2021/4/9,226790 ,227471 ,230470 ,225140 ,3.77K,-0.30%,,634
2021/4/10,234295 ,226790 ,240182 ,226496 ,3.52K,3.31%,,633
2021/4/11,236120 ,234295 ,236120 ,233100 ,2.03K,0.78%,,632
2021/4/12,233848 ,236120 ,239110 ,232695 ,2.98K,-0.96%,,631
2021/4/13,250400 ,233848 ,251380 ,233848 ,5.04K,7.08%,,630
2021/4/14,264540 ,250400 ,265202 ,249150 ,4.41K,5.65%,,629
2021/4/15,273490 ,264555 ,275080 ,261190 ,3.58K,3.38%,,628
2021/4/16,263500 ,273490 ,275770 ,254420 ,6.13K,-3.65%,,627
2021/4/17,251650 ,263500 ,270500 ,251650 ,3.02K,-4.50%,,626
2021/4/18,243220 ,251650 ,253410 ,226950 ,10.36K,-3.35%,,625
2021/4/19,234168 ,243230 ,246100 ,228543 ,8.69K,-3.72%,,624
2021/4/20,251970 ,234168 ,252610 ,226355 ,10.37K,7.60%,,623
2021/4/21,254880 ,251900 ,265338 ,242340 ,8.51K,1.15%,,622
2021/4/22,259770 ,254880 ,282870 ,254880 ,11.96K,1.92%,,621
2021/4/23,255125 ,259770 ,259770 ,230110 ,16.12K,-1.79%,,620
2021/4/24,239528 ,255125 ,255125 ,238920 ,8.08K,-6.11%,,619
2021/4/25,250360 ,239528 ,253598 ,237003 ,8.51K,4.52%,,618
2021/4/26,274510 ,250670 ,274510 ,250670 ,6.46K,9.65%,,617
2021/4/27,289910 ,274510 ,289910 ,270830 ,5.38K,5.61%,,616
2021/4/28,298156 ,289910 ,298300 ,281837 ,6.96K,2.84%,,615
2021/4/29,300100 ,298156 ,302290 ,292250 ,5.36K,0.65%,,614
2021/4/30,301950 ,300100 ,303666 ,298380 ,3.66K,0.62%,,613
2021/5/1,321693 ,301950 ,321693 ,301950 ,1.96K,6.54%,,612
2021/5/2,322650 ,321693 ,324350 ,312949 ,2.63K,0.30%,,611
2021/5/3,374010 ,322650 ,375880 ,322650 ,5.77K,15.92%,,610
2021/5/4,354160 ,374010 ,379840 ,352590 ,8.66K,-5.31%,,609
2021/5/5,385050 ,350865 ,385050 ,350865 ,6.48K,8.72%,,608
2021/5/6,380723 ,385050 ,391860 ,374650 ,6.22K,-1.12%,,607
2021/5/7,378270 ,380723 ,385260 ,370650 ,4.57K,-0.64%,,606
2021/5/8,424650 ,378270 ,424650 ,377590 ,4.61K,12.26%,,605
2021/5/9,425990 ,424650 ,429900 ,412730 ,4.65K,0.32%,,604
2021/5/10,430309 ,425990 ,455740 ,425200 ,7.99K,1.01%,,603
2021/5/11,453370 ,430309 ,453370 ,413470 ,6.42K,5.36%,,602
2021/5/12,420335 ,453370 ,476510 ,420335 ,9.22K,-7.29%,,601
2021/5/13,407650 ,420335 ,439196 ,401050 ,14.35K,-3.02%,,600
2021/5/14,446665 ,407650 ,453140 ,407650 ,4.52K,9.57%,,599
2021/5/15,398620 ,446665 ,448860 ,398620 ,5.04K,-10.76%,,598
2021/5/16,393137 ,398620 ,423110 ,377300 ,13.37K,-1.38%,,597
2021/5/17,358420 ,393137 ,393137 ,342430 ,20.55K,-8.83%,,596
2021/5/18,367690 ,358420 ,386176 ,358420 ,8.22K,2.59%,,595
2021/5/19,266810 ,367690 ,367690 ,253468 ,35.88K,-27.44%,,594
2021/5/20,301600 ,266810 ,317470 ,238680 ,32.25K,13.04%,,593
2021/5/21,265710 ,301600 ,315044 ,240028 ,25.41K,-11.90%,,592
2021/5/22,250730 ,265710 ,269490 ,243310 ,24.43K,-5.64%,,591
2021/5/23,228590 ,250730 ,257980 ,207880 ,32.18K,-8.83%,,590
2021/5/24,287600 ,228590 ,287600 ,228590 ,24.41K,25.81%,,589
2021/5/25,293690 ,287600 ,298560 ,263230 ,13.01K,2.12%,,588
2021/5/26,315233 ,293690 ,315233 ,288913 ,8.70K,7.34%,,587
2021/5/27,300320 ,315233 ,315233 ,291400 ,4.91K,-4.73%,,586
2021/5/28,264900 ,300420 ,300420 ,259660 ,6.69K,-11.79%,,585
2021/5/29,249668 ,264900 ,280010 ,246190 ,5.53K,-5.75%,,584
2021/5/30,262081 ,249668 ,269110 ,241920 ,8.69K,4.97%,,583
2021/5/31,296520 ,262081 ,296520 ,252240 ,5.29K,13.14%,,582
2021/6/1,288110 ,296520 ,296520 ,277970 ,2.96K,-2.84%,,581
2021/6/2,296650 ,288110 ,304620 ,282040 ,2.49K,2.96%,,580
2021/6/3,314450 ,296650 ,314450 ,294760 ,2.84K,6.00%,,579
2021/6/4,294240 ,314450 ,314450 ,287816 ,4.18K,-6.43%,,578
2021/6/5,288000 ,294240 ,305900 ,283460 ,4.01K,-2.12%,,577
2021/6/6,297390 ,288000 ,298370 ,287650 ,2.59K,3.26%,,576
2021/6/7,283370 ,297390 ,309550 ,283370 ,4.13K,-4.71%,,575
2021/6/8,274630 ,283370 ,284210 ,258710 ,9.41K,-3.08%,,574
2021/6/9,285874 ,274630 ,285874 ,266930 ,7.55K,4.09%,,573
2021/6/10,270220 ,285874 ,285874 ,268550 ,4.66K,-5.48%,,572
2021/6/11,257940 ,270220 ,270770 ,255420 ,3.03K,-4.54%,,571
2021/6/12,259620 ,257940 ,267310 ,248270 ,2.43K,0.65%,,570
2021/6/13,275260 ,259620 ,277410 ,254030 ,2.48K,6.02%,,569
2021/6/14,283840 ,275260 ,283840 ,271880 ,1.97K,3.12%,,568
2021/6/15,279910 ,283840 ,287930 ,277240 ,1.61K,-1.38%,,567
2021/6/16,262140 ,279910 ,279910 ,262140 ,2.11K,-6.35%,,566
2021/6/17,261640 ,262140 ,270150 ,256870 ,2.07K,-0.19%,,565
2021/6/18,245900 ,261640 ,261640 ,238170 ,3.49K,-6.02%,,564
2021/6/19,239280 ,245900 ,248850 ,239280 ,3.36K,-2.69%,,563
2021/6/20,247570 ,239280 ,249380 ,228310 ,5.50K,3.46%,,562
2021/6/21,209230 ,247570 ,247570 ,207990 ,15.16K,-15.49%,,561
2021/6/22,208014 ,209230 ,220620 ,195913 ,15.72K,-0.58%,,560
2021/6/23,218700 ,208014 ,224567 ,208014 ,8.72K,5.14%,,559
2021/6/24,220800 ,218700 ,224770 ,210320 ,3.26K,0.96%,,558
2021/6/25,200520 ,220800 ,221890 ,200520 ,4.55K,-9.18%,,557
2021/6/26,203030 ,200520 ,203030 ,191340 ,7.65K,1.25%,,556
2021/6/27,219850 ,203030 ,219850 ,201350 ,6.54K,8.28%,,555
2021/6/28,230260 ,219850 ,235300 ,218010 ,5.28K,4.74%,,554
2021/6/29,239090 ,230260 ,246150 ,230260 ,3.93K,3.83%,,553
2021/6/30,252640 ,239090 ,252640 ,233320 ,2.04K,5.67%,,552
2021/7/1,235190 ,252640 ,252640 ,232300 ,2.43K,-6.91%,,551
2021/7/2,239350 ,235190 ,239350 ,226260 ,2.91K,1.77%,,550
2021/7/3,247180 ,239350 ,247640 ,237070 ,1.82K,3.27%,,549
2021/7/4,258140 ,258340 ,263520 ,257180 ,1.70K,4.43%,,548
2021/7/5,243540 ,258140 ,258140 ,243540 ,3.12K,-5.66%,,547
2021/7/6,255390 ,243500 ,259580 ,243500 ,3.88K,4.87%,,546
2021/7/7,255550 ,257010 ,265150 ,255240 ,2.29K,0.06%,,545
2021/7/8,232440 ,255550 ,257280 ,229810 ,5.09K,-9.04%,,544
2021/7/9,235890 ,232440 ,240520 ,226910 ,4.55K,1.48%,,543
2021/7/10,232256 ,235890 ,240970 ,228550 ,2.62K,-1.54%,,542
2021/7/11,235880 ,232256 ,239400 ,229180 ,0.62K,1.56%,,541
2021/7/12,224140 ,235880 ,238663 ,221260 ,1.61K,-4.98%,,540
2021/7/13,214840 ,224140 ,225570 ,212230 ,2.57K,-4.15%,,539
2021/7/14,218990 ,214840 ,222410 ,206300 ,2.32K,1.93%,,538
2021/7/15,210750 ,218990 ,224330 ,207170 ,2.93K,-3.76%,,537
2021/7/16,206920 ,210630 ,216210 ,203873 ,2.30K,-1.82%,,536
2021/7/17,209180 ,206920 ,211150 ,203760 ,2.79K,1.09%,,535
2021/7/18,208020 ,209180 ,219170 ,206880 ,2.50K,-0.55%,,534
2021/7/19,199210 ,208020 ,210630 ,197425 ,2.96K,-4.24%,,533
2021/7/20,196626 ,199210 ,201680 ,188460 ,3.73K,-1.30%,,532
2021/7/21,219390 ,196626 ,224170 ,193487 ,3.31K,11.58%,,531
2021/7/22,223117 ,219390 ,225370 ,215160 ,2.62K,1.70%,,530
2021/7/23,234710 ,223117 ,235420 ,221090 ,2.12K,5.20%,,529
2021/7/24,238150 ,234710 ,239340 ,232950 ,1.79K,1.47%,,528
2021/7/25,242320 ,237790 ,242820 ,233230 ,1.17K,1.75%,,527
2021/7/26,246240 ,242320 ,268170 ,240620 ,4.62K,1.62%,,526
2021/7/27,252494 ,246240 ,254950 ,237300 ,4.15K,2.54%,,525
2021/7/28,252720 ,252494 ,257880 ,246664 ,2.61K,0.09%,,524
2021/7/29,260660 ,252720 ,262790 ,248750 ,1.43K,3.14%,,523
2021/7/30,270310 ,260660 ,270830 ,254030 ,2.60K,3.70%,,522
2021/7/31,277130 ,270310 ,279780 ,265822 ,1.19K,2.52%,,521
2021/8/1,280850 ,277130 ,295790 ,275670 ,3.15K,1.34%,,520
2021/8/2,285220 ,280850 ,290940 ,275360 ,3.14K,1.56%,,519
2021/8/3,273370 ,285220 ,287080 ,267210 ,2.84K,-4.15%,,518
2021/8/4,298776 ,273370 ,303640 ,268300 ,2.65K,9.29%,,517
